"","Player","Team","Year","Service","Super2","Player.Amt.","Team.Amt.","Midpoint","Settled.Amt.","Winner","Prev.Salary","nameFirst","nameLast","playerID","birthCountry","weight","height","bats","throws","debut","prev.year","prev.salary","Salary","Salary.Min"
"532","Esmil Rogers","Blue Jays",2014,3.135,"No",0,0,0,"1850000","",5.09e+11,"Esmil","Rogers","rogeres01","D.R.",200,75,"R","R",2009-09-12,2013,"509000","509000 ",490000
"533","Esmil Rogers","Yankees",2015,4.088,"No",0,0,0,"1480000","",1.85e+12,"Esmil","Rogers","rogeres01","D.R.",200,75,"R","R",2009-09-12,2014,"1850000","1850000 ",5e+05
"534","Eugenio Suarez","Reds",2018,3.061,"No",4200000,3750000,3975000,"3750000","Team",5.95e+11,"Eugenio","Suarez","suareeu01","Venezuela",213,71,"R","R",2014-06-04,2017,"595000 ","595000 ",535000
"535","Evan Gattis","Astros",2016,3,"No",3850000,3e+06,3425000,"3400000","",5.265e+11,"Evan","Gattis","gattiev01","USA",270,76,"R","R",2013-04-03,2015,"526500","526500 ",507500
"536","Evan Gattis","Astros",2018,5,"No",0,0,0,"6700000","",5.2e+12,"Evan","Gattis","gattiev01","USA",270,76,"R","R",2013-04-03,2017,"5200000 ","5200000 ",535000
"537","Evan Meek","Pirates",2012,3.037,"No",0,0,0,"875000","",4.615e+11,"Evan","Meek","meekev01","USA",215,72,"R","R",2008-04-02,2011,"461500","461500 ",414000
"538","Evan Scribner","Mariners",2016,2.142,"Yes",0,0,0,"807000","",5.125e+11,"Evan","Scribner","scribev01","USA",190,75,"R","R",2011-04-26,2015,"512500","512500 ",507500
"539","Evan Scribner","Mariners",2017,3.142,"No",0,0,0,"907000","",8.07e+11,"Evan","Scribner","scribev01","USA",190,75,"R","R",2011-04-26,2016,"807500","807500 ",507500
"540","Everth Cabrera","Padres",2013,2.144,"Yes",0,0,0,"1275000","",4.8e+11,"Everth","Cabrera","cabreev01","Nicaragua",190,70,"B","R",2009-04-08,2012,"0","0",480000
"541","Everth Cabrera","Padres",2014,3.144,"No",0,0,0,"2450000","",1.275e+12,"Everth","Cabrera","cabreev01","Nicaragua",190,70,"B","R",2009-04-08,2013,"1275000","1275000 ",490000
"542","Ezequiel Carrera","Blue Jays",2017,3.039,"No",0,0,0,"1163000","",5.218e+11,"Ezequiel","Carrera","carreez01","Venezuela",185,71,"L","L",2011-05-20,2016,"521800","521800 ",507500
"543","Ezequiel Carrera","Blue Jays",2018,4.039,"No",0,0,0,"1900000","",1.163e+12,"Ezequiel","Carrera","carreez01","Venezuela",185,71,"L","L",2011-05-20,2017,"1162500 ","1162500 ",535000
"544","Felipe Paulino","Royals",2012,3.163,"No",0,0,0,"1900000","",7.9e+11,"Felipe","Paulino","paulife01","D.R.",270,75,"R","R",2007-09-05,2011,"790000","790000 ",414000
"545","Felipe Paulino","Royals",2013,4.16,"No",0,0,0,"1750000","",1.9e+12,"Felipe","Paulino","paulife01","D.R.",270,75,"R","R",2007-09-05,2012,"1900000","1900000 ",480000
"546","Felipe Vazquez","Pirates",2018,2.162,"Yes",2900000,2400000,2650000,"Extension","",5.35e+11,"Felipe","Rivero",NA,NA,NA,NA,NA,NA,NA,2017,"0","0",535000
"547","Felix Doubront","Cubs",2015,3.12,"No",0,0,0,"1925000","",5.86e+11,"Felix","Doubront","doubrfe01","Venezuela",240,74,"L","L",2010-06-18,2014,"586000 ","586000 ",5e+05
